,target,text,stance,stance_confidence,sarcasm,sarcasm_confidence,sentiment,sentiment
0,Women empowerment, عشان يلمع صورته ويعنني تمكين المرأة ويصير ترند والحكومة هي اكثر من تقمع المرأة اخر شيء كل الي فرحانين بالقرار ودارسين قانون متوظفين كاشير في مول راتبهم 3 الاف,Against,0.5116,No,1.0,Negative,1.0
2,Women empowerment,هذا ما يُعرّف بـ'فوبيا المرأة المُتمكنة' آفة فكرية تغزو عقول بعض الرجال حيث إنه إذ رأى تمكين للمرأة حتى ولو كان بسيطًا فهو من المرجح بالطبع ربطه للموضوع مع - النسوية - وأتهام الفكرة بأكملها بالشيطنة والخبث . URL,Favor,0.8171,Yes,0.8145,Negative,0.8251
3,Digital Transformation,#LEAP22  مؤتمر يجمع اشهر وابرز المؤثرين في المجال التقني  ومن خلاله السعودية تستعرض قدرتها في التحول الرقمي اللي تشهدها كافة قطاعاتها 👌🏼 URL,Favor,1.0,No,1.0,Positive,0.7531
4,Digital Transformation,خصوصية البيانات وحمايتها في المنظمة مطلب ولكن لا ينبغي أن تكون ذريعة لسد الطريق امام التحول التقني لأننا نجهل كيف نحمي بياناتنا في هذا الفضاء التقني. بل أن عملية التحول الرقمي ليست خيارًا نقبله أو نرفضه ونحن قطاع يتسم بالشفافية والمشاركة مع المجتمع وأصحاب المصلحة.,Favor,0.7559,No,1.0,Neutral,0.8116
5,Women empowerment, فخورين بنساء الوطن 🇸🇦 وكلنا فخر بتقدم تمكين المرأه يوم بعد يوم ؛ الله يديم حكومتنا ؛ ويحفظ بلادنا ويعزها 🤍..,Favor,1.0,No,1.0,Positive,1.0
7,Digital Transformation,"كعادة البشر ذوي العقليات المحدودة والكسولة الكل هاجمه وانتقده ووصفوه بالجنون والغباء وووو الخ"" نفس سالفة التحول الرقمي والدفع الالكتروني"" لكن المصيبة ان كلامه طلع صح ونجح !!!!",Favor,1.0,No,0.8808,Negative,0.645
8,Covid Vaccine,MENTION MENTION MENTION وش فائدة اللقاح بما انه تم تطعيم  ٥٠ بالميه من السكان والاصابات كل يوم تزيد  وش الفايده ؟؟؟  يقول مايمنع الاصابه لكن يخففها  كورونا في الاصل الشفاء منها وصل ٩٩ بالميه  يعني اللقاح يعطينا ١٠٠ بالميه ؟؟  كلنا نسمع ونعرف ناس انصابوا وهم اخذين اللقاح ونقلوا العدوى لمجموعه,Against,0.8233,No,1.0,Negative,1.0
9,Digital Transformation,من يتمعن فيما يجري اليوم في الأوساط العلمية البحثية على جميع الأصعدة من اهتمام مستميت بالتحول من الواقع إلى الافتراض -التحول الرقمي الإلكتروني- وإحلال الآلات وتقنيات الذكاء الصناعي  سيعلم ما هو كورونا  ولماذا تم غلق العالم انتقائياً  وتعطيل الاقتصاد..الخ   URL,Against,0.6966,No,1.0,Negative,0.4731
10,Digital Transformation,"واختتم د. أحمد بن حماد الكلباني عميد أكاديمية الامن الالكتروني المتقدم ورقة عمل ""الابتكار في تعزيز الجاهزية للأمن الالكتروني"" تناولت الورقة طرق تسريع وتيرة التحول الرقمي الاقتصاد مع اعتماد تكنولوجيا المعلومات والاتصالات الرائدة التقنيات URL",Favor,0.7303,No,1.0,Neutral,0.7771
11,Covid Vaccine,تم تطعيم الجرعة الاولى من لقاح pfizer اليوم . شكراً على جهودكم بالتوعية و الله يكثر من امثالكم و يعطيكم العافية .    ,Favor,1.0,No,1.0,Positive,1.0
12,Covid Vaccine,كل ما افتكر إني مضطرة اخد تطعيم كورونا تاني قلبي يتقبض,Against,0.7526,No,1.0,Negative,0.8574
